
Epoch [1/30], train loss: 0.3227, train acc: 0.9108, val loss: 0.6042, val acc: 0.7381
Epoch [2/30], train loss: 0.2393, train acc: 0.9302, val loss: 0.9082, val acc: 0.6825
Epoch [3/30], train loss: 0.1673, train acc: 0.9404, val loss: 0.6905, val acc: 0.7540
Epoch [4/30], train loss: 0.1286, train acc: 0.9530, val loss: 0.6793, val acc: 0.7579
Epoch [5/30], train loss: 0.1452, train acc: 0.9471, val loss: 0.9377, val acc: 0.8056
Epoch [6/30], train loss: 0.1310, train acc: 0.9513, val loss: 0.7676, val acc: 0.7778
Epoch [7/30], train loss: 0.1322, train acc: 0.9528, val loss: 0.7994, val acc: 0.7540
Epoch [8/30], train loss: 0.1229, train acc: 0.9533, val loss: 0.7700, val acc: 0.7579
Epoch [9/30], train loss: 0.1159, train acc: 0.9578, val loss: 0.8781, val acc: 0.7738
Epoch [10/30], train loss: 0.0982, train acc: 0.9600, val loss: 0.8521, val acc: 0.7381
Epoch [11/30], train loss: 0.1418, train acc: 0.9493, val loss: 0.9054, val acc: 0.7897
Epoch [12/30], train loss: 0.1068, train acc: 0.9578, val loss: 0.8617, val acc: 0.7063
Epoch [13/30], train loss: 0.0995, train acc: 0.9583, val loss: 1.0667, val acc: 0.6825
Epoch [14/30], train loss: 0.1061, train acc: 0.9593, val loss: 0.9363, val acc: 0.7897
Epoch [15/30], train loss: 0.1085, train acc: 0.9583, val loss: 0.9637, val acc: 0.7738
Epoch [16/30], train loss: 0.1091, train acc: 0.9585, val loss: 1.1279, val acc: 0.7778
Epoch [17/30], train loss: 0.1179, train acc: 0.9590, val loss: 0.9665, val acc: 0.7024
Epoch [18/30], train loss: 0.0950, train acc: 0.9625, val loss: 1.0040, val acc: 0.7619
Epoch [19/30], train loss: 0.0927, train acc: 0.9657, val loss: 0.8771, val acc: 0.7817
Epoch [20/30], train loss: 0.0905, train acc: 0.9655, val loss: 0.8341, val acc: 0.7659
Epoch [21/30], train loss: 0.0906, train acc: 0.9655, val loss: 1.0041, val acc: 0.7421
Epoch [22/30], train loss: 0.0960, train acc: 0.9642, val loss: 1.0869, val acc: 0.7024
Epoch [23/30], train loss: 0.1152, train acc: 0.9595, val loss: 1.0852, val acc: 0.6746
Epoch [24/30], train loss: 0.0839, train acc: 0.9667, val loss: 0.9295, val acc: 0.7619
Epoch [25/30], train loss: 0.0804, train acc: 0.9680, val loss: 1.1348, val acc: 0.6746
Epoch [26/30], train loss: 0.0809, train acc: 0.9677, val loss: 1.0983, val acc: 0.8095
Epoch [27/30], train loss: 0.0969, train acc: 0.9642, val loss: 1.0454, val acc: 0.7063
Epoch [28/30], train loss: 0.1011, train acc: 0.9617, val loss: 1.1010, val acc: 0.7500
Epoch [29/30], train loss: 0.0875, train acc: 0.9647, val loss: 1.1123, val acc: 0.7579
Epoch [30/30], train loss: 0.1224, train acc: 0.9570, val loss: 0.9912, val acc: 0.7659
