
Epoch [1/30], train loss: 0.2399, train acc: 0.9227, val loss: 0.3918, val acc: 0.8294
Epoch [2/30], train loss: 0.1571, train acc: 0.9456, val loss: 0.5095, val acc: 0.8373
Epoch [3/30], train loss: 0.1760, train acc: 0.9411, val loss: 0.4712, val acc: 0.8452
Epoch [4/30], train loss: 0.1215, train acc: 0.9543, val loss: 0.6608, val acc: 0.8135
Epoch [5/30], train loss: 0.1433, train acc: 0.9488, val loss: 0.5741, val acc: 0.8333
Epoch [6/30], train loss: 0.1210, train acc: 0.9568, val loss: 0.5124, val acc: 0.7976
Epoch [7/30], train loss: 0.1144, train acc: 0.9585, val loss: 0.4910, val acc: 0.8214
Epoch [8/30], train loss: 0.1021, train acc: 0.9632, val loss: 0.5703, val acc: 0.8373
Epoch [9/30], train loss: 0.1177, train acc: 0.9563, val loss: 0.5230, val acc: 0.8532
Epoch [10/30], train loss: 0.1351, train acc: 0.9530, val loss: 0.5052, val acc: 0.8135
Epoch [11/30], train loss: 0.1268, train acc: 0.9543, val loss: 0.9501, val acc: 0.8175
Epoch [12/30], train loss: 0.1012, train acc: 0.9622, val loss: 0.5836, val acc: 0.8333
Epoch [13/30], train loss: 0.0902, train acc: 0.9645, val loss: 0.5531, val acc: 0.8571
Epoch [14/30], train loss: 0.0791, train acc: 0.9689, val loss: 0.5908, val acc: 0.8452
Epoch [15/30], train loss: 0.0816, train acc: 0.9702, val loss: 0.6726, val acc: 0.8373
Epoch [16/30], train loss: 0.0912, train acc: 0.9660, val loss: 0.8167, val acc: 0.8294
Epoch [17/30], train loss: 0.0897, train acc: 0.9647, val loss: 0.5439, val acc: 0.8333
Epoch [18/30], train loss: 0.0883, train acc: 0.9687, val loss: 0.5630, val acc: 0.8095
Epoch [19/30], train loss: 0.0739, train acc: 0.9739, val loss: 0.5222, val acc: 0.8175
Epoch [20/30], train loss: 0.0811, train acc: 0.9702, val loss: 0.5361, val acc: 0.8095
Epoch [21/30], train loss: 0.0728, train acc: 0.9699, val loss: 0.4709, val acc: 0.8413
Epoch [22/30], train loss: 0.0823, train acc: 0.9704, val loss: 0.8438, val acc: 0.8294
Epoch [23/30], train loss: 0.0807, train acc: 0.9684, val loss: 0.4432, val acc: 0.8373
Epoch [24/30], train loss: 0.0779, train acc: 0.9707, val loss: 0.5242, val acc: 0.8571
Epoch [25/30], train loss: 0.0715, train acc: 0.9729, val loss: 0.5726, val acc: 0.8175
Epoch [26/30], train loss: 0.0788, train acc: 0.9692, val loss: 0.8506, val acc: 0.8294
Epoch [27/30], train loss: 0.0826, train acc: 0.9709, val loss: 0.7404, val acc: 0.8333
Epoch [28/30], train loss: 0.0712, train acc: 0.9729, val loss: 0.5725, val acc: 0.8214
Epoch [29/30], train loss: 0.0780, train acc: 0.9699, val loss: 0.9599, val acc: 0.8294
Epoch [30/30], train loss: 0.0738, train acc: 0.9749, val loss: 0.7096, val acc: 0.8413
