
Epoch [1/50], train loss: 0.2291, train acc: 0.9299, val loss: 0.4946, val acc: 0.7659
Epoch [2/50], train loss: 0.1592, train acc: 0.9394, val loss: 0.7206, val acc: 0.7579
Epoch [3/50], train loss: 0.1341, train acc: 0.9503, val loss: 0.6387, val acc: 0.7738
Epoch [4/50], train loss: 0.1231, train acc: 0.9548, val loss: 0.7168, val acc: 0.7341
Epoch [5/50], train loss: 0.1144, train acc: 0.9545, val loss: 0.8418, val acc: 0.7897
Epoch [6/50], train loss: 0.1384, train acc: 0.9466, val loss: 0.8602, val acc: 0.7817
Epoch [7/50], train loss: 0.1201, train acc: 0.9563, val loss: 1.0032, val acc: 0.8016
Epoch [8/50], train loss: 0.1334, train acc: 0.9520, val loss: 0.8196, val acc: 0.7460
Epoch [9/50], train loss: 0.0983, train acc: 0.9605, val loss: 0.7646, val acc: 0.7421
Epoch [10/50], train loss: 0.1354, train acc: 0.9543, val loss: 1.0869, val acc: 0.7976
Epoch [11/50], train loss: 0.1348, train acc: 0.9518, val loss: 0.9539, val acc: 0.7143
Epoch [12/50], train loss: 0.0999, train acc: 0.9622, val loss: 0.7633, val acc: 0.7500
Epoch [13/50], train loss: 0.0862, train acc: 0.9660, val loss: 0.8712, val acc: 0.7698
Epoch [14/50], train loss: 0.0962, train acc: 0.9622, val loss: 0.8644, val acc: 0.7500
Epoch [15/50], train loss: 0.1287, train acc: 0.9545, val loss: 1.1227, val acc: 0.6865
Epoch [16/50], train loss: 0.1069, train acc: 0.9585, val loss: 0.9496, val acc: 0.7222
Epoch [17/50], train loss: 0.1250, train acc: 0.9508, val loss: 0.9208, val acc: 0.7659
Epoch [18/50], train loss: 0.0859, train acc: 0.9655, val loss: 0.8588, val acc: 0.7500
Epoch [19/50], train loss: 0.0889, train acc: 0.9637, val loss: 1.0741, val acc: 0.7698
Epoch [20/50], train loss: 0.0865, train acc: 0.9672, val loss: 0.9314, val acc: 0.7460
Epoch [21/50], train loss: 0.0859, train acc: 0.9675, val loss: 1.0472, val acc: 0.7817
Epoch [22/50], train loss: 0.0933, train acc: 0.9660, val loss: 1.1411, val acc: 0.7619
Epoch [23/50], train loss: 0.0957, train acc: 0.9645, val loss: 0.9525, val acc: 0.7540
Epoch [24/50], train loss: 0.1063, train acc: 0.9612, val loss: 1.1063, val acc: 0.7381
Epoch [25/50], train loss: 0.0961, train acc: 0.9635, val loss: 0.9700, val acc: 0.7103
Epoch [26/50], train loss: 0.0853, train acc: 0.9692, val loss: 1.0297, val acc: 0.7897
Epoch [27/50], train loss: 0.0884, train acc: 0.9647, val loss: 1.1517, val acc: 0.6905
Epoch [28/50], train loss: 0.0855, train acc: 0.9660, val loss: 1.0819, val acc: 0.7024
Epoch [29/50], train loss: 0.0933, train acc: 0.9650, val loss: 1.1233, val acc: 0.7063
Epoch [30/50], train loss: 0.1059, train acc: 0.9635, val loss: 1.0123, val acc: 0.7500
Epoch [31/50], train loss: 0.0794, train acc: 0.9689, val loss: 1.1418, val acc: 0.7024
Epoch [32/50], train loss: 0.0914, train acc: 0.9670, val loss: 1.0954, val acc: 0.7341
Epoch [33/50], train loss: 0.0800, train acc: 0.9694, val loss: 1.1831, val acc: 0.7381
Epoch [34/50], train loss: 0.0936, train acc: 0.9647, val loss: 1.0941, val acc: 0.7857
Epoch [35/50], train loss: 0.1043, train acc: 0.9620, val loss: 1.1819, val acc: 0.7857
Epoch [36/50], train loss: 0.0706, train acc: 0.9732, val loss: 1.1314, val acc: 0.7302
Epoch [37/50], train loss: 0.0754, train acc: 0.9687, val loss: 1.1615, val acc: 0.7460
Epoch [38/50], train loss: 0.0880, train acc: 0.9682, val loss: 1.1517, val acc: 0.7262
Epoch [39/50], train loss: 0.0859, train acc: 0.9640, val loss: 1.2507, val acc: 0.8095
Epoch [40/50], train loss: 0.1014, train acc: 0.9620, val loss: 1.0597, val acc: 0.7778
Epoch [41/50], train loss: 0.0791, train acc: 0.9682, val loss: 1.2124, val acc: 0.7659
Epoch [42/50], train loss: 0.0786, train acc: 0.9704, val loss: 1.2012, val acc: 0.6984
Epoch [43/50], train loss: 0.0819, train acc: 0.9712, val loss: 1.2817, val acc: 0.6984
Epoch [44/50], train loss: 0.0962, train acc: 0.9635, val loss: 1.5438, val acc: 0.6627
Epoch [45/50], train loss: 0.1003, train acc: 0.9635, val loss: 1.4629, val acc: 0.7976
Epoch [46/50], train loss: 0.1052, train acc: 0.9612, val loss: 1.2203, val acc: 0.7778
Epoch [47/50], train loss: 0.0842, train acc: 0.9712, val loss: 1.3174, val acc: 0.7063
Epoch [48/50], train loss: 0.0777, train acc: 0.9714, val loss: 1.0929, val acc: 0.7381
Epoch [49/50], train loss: 0.0822, train acc: 0.9702, val loss: 1.1691, val acc: 0.7024
Epoch [50/50], train loss: 0.0701, train acc: 0.9702, val loss: 1.1247, val acc: 0.7302
