
Epoch [1/20], train loss: 0.2383, train acc: 0.9414, val loss: 1.5042, val acc: 0.8254
Epoch [2/20], train loss: 0.1144, train acc: 0.9684, val loss: 0.6320, val acc: 0.8770
Epoch [3/20], train loss: 0.0506, train acc: 0.9821, val loss: 0.7566, val acc: 0.8889
Epoch [4/20], train loss: 0.0157, train acc: 0.9953, val loss: 0.6414, val acc: 0.8889
Epoch [5/20], train loss: 0.0076, train acc: 0.9970, val loss: 0.6359, val acc: 0.8889
Epoch [6/20], train loss: 0.0058, train acc: 0.9983, val loss: 0.6712, val acc: 0.8929
Epoch [7/20], train loss: 0.0033, train acc: 0.9990, val loss: 0.6994, val acc: 0.8968
Epoch [8/20], train loss: 0.0007, train acc: 1.0000, val loss: 0.6964, val acc: 0.8929
Epoch [9/20], train loss: 0.0026, train acc: 0.9993, val loss: 0.7116, val acc: 0.8849
Epoch [10/20], train loss: 0.0005, train acc: 1.0000, val loss: 0.7424, val acc: 0.8849
Epoch [11/20], train loss: 0.0004, train acc: 1.0000, val loss: 0.7931, val acc: 0.8849
Epoch [12/20], train loss: 0.0004, train acc: 1.0000, val loss: 0.7767, val acc: 0.8889
Epoch [13/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.7890, val acc: 0.8929
Epoch [14/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.7765, val acc: 0.8889
Epoch [15/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.7426, val acc: 0.8849
Epoch [16/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.7683, val acc: 0.8849
Epoch [17/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.7568, val acc: 0.8889
Epoch [18/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.7791, val acc: 0.8849
Epoch [19/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.7897, val acc: 0.8889
Epoch [20/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.8101, val acc: 0.8849
