
Epoch [1/30], train loss: 0.2313, train acc: 0.9242, val loss: 0.6887, val acc: 0.6865
Epoch [2/30], train loss: 0.1474, train acc: 0.9451, val loss: 0.7772, val acc: 0.6627
Epoch [3/30], train loss: 0.1760, train acc: 0.9354, val loss: 0.7866, val acc: 0.6984
Epoch [4/30], train loss: 0.1283, train acc: 0.9496, val loss: 0.7273, val acc: 0.7222
Epoch [5/30], train loss: 0.1438, train acc: 0.9478, val loss: 0.8636, val acc: 0.7262
Epoch [6/30], train loss: 0.1087, train acc: 0.9575, val loss: 0.8446, val acc: 0.7579
Epoch [7/30], train loss: 0.1278, train acc: 0.9548, val loss: 0.7286, val acc: 0.7738
Epoch [8/30], train loss: 0.1155, train acc: 0.9570, val loss: 0.8559, val acc: 0.7024
Epoch [9/30], train loss: 0.1619, train acc: 0.9441, val loss: 0.7440, val acc: 0.7381
Epoch [10/30], train loss: 0.1002, train acc: 0.9625, val loss: 0.8784, val acc: 0.7302
Epoch [11/30], train loss: 0.1054, train acc: 0.9575, val loss: 0.9150, val acc: 0.7381
Epoch [12/30], train loss: 0.1054, train acc: 0.9570, val loss: 0.8335, val acc: 0.7143
Epoch [13/30], train loss: 0.0961, train acc: 0.9625, val loss: 0.8940, val acc: 0.7659
Epoch [14/30], train loss: 0.1061, train acc: 0.9573, val loss: 0.8792, val acc: 0.7579
Epoch [15/30], train loss: 0.1157, train acc: 0.9575, val loss: 0.8859, val acc: 0.7262
Epoch [16/30], train loss: 0.1195, train acc: 0.9543, val loss: 0.8829, val acc: 0.7698
Epoch [17/30], train loss: 0.0905, train acc: 0.9662, val loss: 0.9503, val acc: 0.7500
Epoch [18/30], train loss: 0.1026, train acc: 0.9615, val loss: 1.0074, val acc: 0.7778
Epoch [19/30], train loss: 0.0976, train acc: 0.9625, val loss: 1.1758, val acc: 0.8056
Epoch [20/30], train loss: 0.0901, train acc: 0.9675, val loss: 0.9014, val acc: 0.7222
Epoch [21/30], train loss: 0.0797, train acc: 0.9719, val loss: 0.9582, val acc: 0.6944
Epoch [22/30], train loss: 0.0818, train acc: 0.9709, val loss: 1.0565, val acc: 0.6746
Epoch [23/30], train loss: 0.0904, train acc: 0.9635, val loss: 1.0668, val acc: 0.7500
Epoch [24/30], train loss: 0.0983, train acc: 0.9605, val loss: 1.0134, val acc: 0.6984
Epoch [25/30], train loss: 0.0971, train acc: 0.9637, val loss: 0.9412, val acc: 0.7500
Epoch [26/30], train loss: 0.0993, train acc: 0.9605, val loss: 1.0426, val acc: 0.7143
Epoch [27/30], train loss: 0.1104, train acc: 0.9615, val loss: 1.0718, val acc: 0.7540
Epoch [28/30], train loss: 0.0964, train acc: 0.9652, val loss: 1.0529, val acc: 0.7619
Epoch [29/30], train loss: 0.0821, train acc: 0.9657, val loss: 1.0746, val acc: 0.7619
Epoch [30/30], train loss: 0.1024, train acc: 0.9637, val loss: 0.9673, val acc: 0.7341
