
Epoch [1/30], train loss: 0.2017, train acc: 0.9436, val loss: 0.8677, val acc: 0.8373
Epoch [2/30], train loss: 0.0799, train acc: 0.9729, val loss: 0.4400, val acc: 0.8929
Epoch [3/30], train loss: 0.0169, train acc: 0.9948, val loss: 0.4502, val acc: 0.8968
Epoch [4/30], train loss: 0.0137, train acc: 0.9938, val loss: 0.4946, val acc: 0.9008
Epoch [5/30], train loss: 0.0050, train acc: 0.9988, val loss: 0.5744, val acc: 0.8889
Epoch [6/30], train loss: 0.0009, train acc: 1.0000, val loss: 0.4630, val acc: 0.8968
Epoch [7/30], train loss: 0.0012, train acc: 0.9995, val loss: 0.4355, val acc: 0.8968
Epoch [8/30], train loss: 0.0006, train acc: 1.0000, val loss: 0.4668, val acc: 0.8929
Epoch [9/30], train loss: 0.0003, train acc: 1.0000, val loss: 0.4649, val acc: 0.8889
Epoch [10/30], train loss: 0.0003, train acc: 1.0000, val loss: 0.4189, val acc: 0.8968
Epoch [11/30], train loss: 0.0004, train acc: 1.0000, val loss: 0.5467, val acc: 0.8889
Epoch [12/30], train loss: 0.0003, train acc: 1.0000, val loss: 0.5611, val acc: 0.8889
Epoch [13/30], train loss: 0.0007, train acc: 1.0000, val loss: 0.5612, val acc: 0.8849
Epoch [14/30], train loss: 0.0002, train acc: 1.0000, val loss: 0.5356, val acc: 0.8889
Epoch [15/30], train loss: 0.0004, train acc: 1.0000, val loss: 0.5326, val acc: 0.8929
Epoch [16/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5658, val acc: 0.8929
Epoch [17/30], train loss: 0.0002, train acc: 1.0000, val loss: 0.4923, val acc: 0.8929
Epoch [18/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5636, val acc: 0.8889
Epoch [19/30], train loss: 0.0002, train acc: 1.0000, val loss: 0.5249, val acc: 0.8929
Epoch [20/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5653, val acc: 0.8929
Epoch [21/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5167, val acc: 0.8929
Epoch [22/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5658, val acc: 0.8929
Epoch [23/30], train loss: 0.0002, train acc: 1.0000, val loss: 0.5362, val acc: 0.8929
Epoch [24/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5477, val acc: 0.8849
Epoch [25/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5689, val acc: 0.8889
Epoch [26/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5610, val acc: 0.8849
Epoch [27/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5807, val acc: 0.8849
Epoch [28/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5805, val acc: 0.8889
Epoch [29/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5244, val acc: 0.8889
Epoch [30/30], train loss: 0.0001, train acc: 1.0000, val loss: 0.5298, val acc: 0.8889
