
Epoch [1/20], train loss: 0.1340, train acc: 0.9553, val loss: 0.5451, val acc: 0.8651
Epoch [2/20], train loss: 0.0441, train acc: 0.9816, val loss: 0.3540, val acc: 0.9087
Epoch [3/20], train loss: 0.0171, train acc: 0.9948, val loss: 0.4120, val acc: 0.9127
Epoch [4/20], train loss: 0.0052, train acc: 0.9985, val loss: 0.3630, val acc: 0.9206
Epoch [5/20], train loss: 0.0016, train acc: 0.9998, val loss: 0.3530, val acc: 0.9167
Epoch [6/20], train loss: 0.0010, train acc: 1.0000, val loss: 0.3734, val acc: 0.9167
Epoch [7/20], train loss: 0.0005, train acc: 1.0000, val loss: 0.3962, val acc: 0.9087
Epoch [8/20], train loss: 0.0009, train acc: 0.9998, val loss: 0.3752, val acc: 0.9087
Epoch [9/20], train loss: 0.0005, train acc: 1.0000, val loss: 0.4353, val acc: 0.9048
Epoch [10/20], train loss: 0.0007, train acc: 1.0000, val loss: 0.4296, val acc: 0.9008
Epoch [11/20], train loss: 0.0004, train acc: 1.0000, val loss: 0.4390, val acc: 0.9048
Epoch [12/20], train loss: 0.0003, train acc: 1.0000, val loss: 0.4353, val acc: 0.9008
Epoch [13/20], train loss: 0.0005, train acc: 1.0000, val loss: 0.4139, val acc: 0.9087
Epoch [14/20], train loss: 0.0008, train acc: 0.9998, val loss: 0.4587, val acc: 0.9008
Epoch [15/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4416, val acc: 0.9048
Epoch [16/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.3905, val acc: 0.9087
Epoch [17/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4413, val acc: 0.9087
Epoch [18/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4246, val acc: 0.9087
Epoch [19/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4589, val acc: 0.9087
Epoch [20/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4212, val acc: 0.9008
