
Epoch [1/20], train loss: 0.2338, train acc: 0.9262, val loss: 0.8064, val acc: 0.6587
Epoch [2/20], train loss: 0.1621, train acc: 0.9411, val loss: 0.5487, val acc: 0.7540
Epoch [3/20], train loss: 0.1592, train acc: 0.9426, val loss: 0.7685, val acc: 0.7381
Epoch [4/20], train loss: 0.1438, train acc: 0.9443, val loss: 0.8431, val acc: 0.8095
Epoch [5/20], train loss: 0.2048, train acc: 0.9396, val loss: 0.7704, val acc: 0.7143
Epoch [6/20], train loss: 0.1515, train acc: 0.9453, val loss: 0.7856, val acc: 0.7262
Epoch [7/20], train loss: 0.1209, train acc: 0.9565, val loss: 0.8550, val acc: 0.7302
Epoch [8/20], train loss: 0.1073, train acc: 0.9605, val loss: 0.9150, val acc: 0.6865
Epoch [9/20], train loss: 0.1242, train acc: 0.9528, val loss: 0.8152, val acc: 0.7698
Epoch [10/20], train loss: 0.1015, train acc: 0.9617, val loss: 0.9164, val acc: 0.7103
Epoch [11/20], train loss: 0.1222, train acc: 0.9540, val loss: 0.8078, val acc: 0.7619
Epoch [12/20], train loss: 0.1017, train acc: 0.9640, val loss: 0.8838, val acc: 0.7619
Epoch [13/20], train loss: 0.1020, train acc: 0.9657, val loss: 1.1369, val acc: 0.7857
Epoch [14/20], train loss: 0.1083, train acc: 0.9583, val loss: 0.8729, val acc: 0.7460
Epoch [15/20], train loss: 0.1012, train acc: 0.9610, val loss: 0.9202, val acc: 0.7579
Epoch [16/20], train loss: 0.1210, train acc: 0.9580, val loss: 1.0227, val acc: 0.7143
Epoch [17/20], train loss: 0.1128, train acc: 0.9575, val loss: 1.0406, val acc: 0.6865
Epoch [18/20], train loss: 0.0822, train acc: 0.9682, val loss: 1.0558, val acc: 0.7381
Epoch [19/20], train loss: 0.0884, train acc: 0.9660, val loss: 0.9809, val acc: 0.7897
Epoch [20/20], train loss: 0.0985, train acc: 0.9637, val loss: 1.3426, val acc: 0.8016
