
Epoch [1/20], train loss: 0.1707, train acc: 0.9461, val loss: 1.0169, val acc: 0.8214
Epoch [2/20], train loss: 0.0602, train acc: 0.9796, val loss: 0.4725, val acc: 0.9206
Epoch [3/20], train loss: 0.0186, train acc: 0.9943, val loss: 0.4869, val acc: 0.8929
Epoch [4/20], train loss: 0.0047, train acc: 0.9985, val loss: 0.4723, val acc: 0.9008
Epoch [5/20], train loss: 0.0039, train acc: 0.9988, val loss: 0.4107, val acc: 0.8968
Epoch [6/20], train loss: 0.0007, train acc: 1.0000, val loss: 0.4201, val acc: 0.9087
Epoch [7/20], train loss: 0.0006, train acc: 1.0000, val loss: 0.4728, val acc: 0.9087
Epoch [8/20], train loss: 0.0004, train acc: 1.0000, val loss: 0.4112, val acc: 0.9127
Epoch [9/20], train loss: 0.0003, train acc: 1.0000, val loss: 0.4833, val acc: 0.9127
Epoch [10/20], train loss: 0.0003, train acc: 1.0000, val loss: 0.4654, val acc: 0.9087
Epoch [11/20], train loss: 0.0003, train acc: 1.0000, val loss: 0.4753, val acc: 0.9087
Epoch [12/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4683, val acc: 0.9048
Epoch [13/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4621, val acc: 0.9087
Epoch [14/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.5246, val acc: 0.9048
Epoch [15/20], train loss: 0.0002, train acc: 1.0000, val loss: 0.4324, val acc: 0.9167
Epoch [16/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.5203, val acc: 0.9008
Epoch [17/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.4246, val acc: 0.9127
Epoch [18/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.4803, val acc: 0.9087
Epoch [19/20], train loss: 0.0001, train acc: 1.0000, val loss: 0.4998, val acc: 0.9048
Epoch [20/20], train loss: 0.0003, train acc: 1.0000, val loss: 0.4770, val acc: 0.9048
