
Epoch [1/40], train loss: 0.2658, train acc: 0.9166, val loss: 0.3866, val acc: 0.8386
Epoch [2/40], train loss: 0.1674, train acc: 0.9382, val loss: 0.4640, val acc: 0.9158
Epoch [3/40], train loss: 0.1484, train acc: 0.9458, val loss: 0.3556, val acc: 0.8860
Epoch [4/40], train loss: 0.1551, train acc: 0.9425, val loss: 0.3980, val acc: 0.8912
Epoch [5/40], train loss: 0.1381, train acc: 0.9493, val loss: 0.4346, val acc: 0.8684
Epoch [6/40], train loss: 0.1189, train acc: 0.9571, val loss: 0.4135, val acc: 0.8649
Epoch [7/40], train loss: 0.1216, train acc: 0.9579, val loss: 0.6405, val acc: 0.7912
Epoch [8/40], train loss: 0.1461, train acc: 0.9474, val loss: 0.4718, val acc: 0.8702
Epoch [9/40], train loss: 0.1324, train acc: 0.9544, val loss: 0.5747, val acc: 0.8895
Epoch [10/40], train loss: 0.1173, train acc: 0.9560, val loss: 0.5046, val acc: 0.9053
Epoch [11/40], train loss: 0.1436, train acc: 0.9447, val loss: 0.6565, val acc: 0.8018
Epoch [12/40], train loss: 0.1101, train acc: 0.9585, val loss: 0.4506, val acc: 0.8667
Epoch [13/40], train loss: 0.1074, train acc: 0.9595, val loss: 0.4841, val acc: 0.8737
Epoch [14/40], train loss: 0.0948, train acc: 0.9660, val loss: 0.5250, val acc: 0.8491
Epoch [15/40], train loss: 0.0996, train acc: 0.9652, val loss: 0.5455, val acc: 0.8263
Epoch [16/40], train loss: 0.1123, train acc: 0.9547, val loss: 0.5352, val acc: 0.8386
Epoch [17/40], train loss: 0.0947, train acc: 0.9628, val loss: 0.5919, val acc: 0.8105
Epoch [18/40], train loss: 0.0965, train acc: 0.9622, val loss: 0.5032, val acc: 0.8368
Epoch [19/40], train loss: 0.0903, train acc: 0.9657, val loss: 0.7047, val acc: 0.8000
Epoch [20/40], train loss: 0.1019, train acc: 0.9606, val loss: 0.5445, val acc: 0.8491
Epoch [21/40], train loss: 0.1022, train acc: 0.9593, val loss: 0.5199, val acc: 0.8596
Epoch [22/40], train loss: 0.1129, train acc: 0.9585, val loss: 0.5600, val acc: 0.8281
Epoch [23/40], train loss: 0.0856, train acc: 0.9663, val loss: 0.5959, val acc: 0.8211
Epoch [24/40], train loss: 0.0884, train acc: 0.9665, val loss: 0.6145, val acc: 0.8158
Epoch [25/40], train loss: 0.0834, train acc: 0.9679, val loss: 0.5315, val acc: 0.8228
Epoch [26/40], train loss: 0.1002, train acc: 0.9620, val loss: 0.5049, val acc: 0.8684
Epoch [27/40], train loss: 0.0983, train acc: 0.9587, val loss: 0.6287, val acc: 0.8140
Epoch [28/40], train loss: 0.0836, train acc: 0.9674, val loss: 0.6305, val acc: 0.8158
Epoch [29/40], train loss: 0.0945, train acc: 0.9633, val loss: 0.5451, val acc: 0.8842
Epoch [30/40], train loss: 0.0948, train acc: 0.9630, val loss: 0.5536, val acc: 0.8439
Epoch [31/40], train loss: 0.0887, train acc: 0.9652, val loss: 0.5724, val acc: 0.8386
Epoch [32/40], train loss: 0.1038, train acc: 0.9622, val loss: 0.5590, val acc: 0.8860
Epoch [33/40], train loss: 0.0742, train acc: 0.9692, val loss: 0.7967, val acc: 0.7965
Epoch [34/40], train loss: 0.0733, train acc: 0.9717, val loss: 0.6121, val acc: 0.8544
Epoch [35/40], train loss: 0.0842, train acc: 0.9660, val loss: 0.6359, val acc: 0.8298
Epoch [36/40], train loss: 0.0938, train acc: 0.9657, val loss: 0.6244, val acc: 0.9035
Epoch [37/40], train loss: 0.1124, train acc: 0.9585, val loss: 0.5754, val acc: 0.8386
Epoch [38/40], train loss: 0.0664, train acc: 0.9746, val loss: 0.5895, val acc: 0.8228
Epoch [39/40], train loss: 0.0937, train acc: 0.9655, val loss: 0.9700, val acc: 0.7754
Epoch [40/40], train loss: 0.0879, train acc: 0.9692, val loss: 0.6701, val acc: 0.8263
